Sku Code,Sku Name,Campaign,Remarks,PO Received,Old GST %,New GST%,GST Change,Old MRP,New MRP,Old EAN,New EAN,Old HSN,New HSN,Old Grammage,New Grammage,Drive Link,NPI status,Ingredients,catgeory,allergens ,Length,breadth,Height,shelf life,
634148,Let's Try Pratham Millet Ribbon Pakoda,,,,12,5,Yes,85,85,8906161392393,8906161392393,21069099,21069099,180,193,https://drive.google.com/drive/folders/1va4MjkpBcPcqTBlDin5ELZlDT1U7r_zs?usp=drive_link,,"Rice Flour, Edible Vegetatie Oil Groundnut Oil Roasted Bengal Gram Flour, lodized salt, Chilly Powder, Garlic Powder and Paste, Asafoetida Powder",Munchies,,15.5,7,24,180,
503481,Let's try pratham navratna mix 180 G,,,,12,5,Yes,85,85,8906161392119,8906161392119,21069099,21069099,180,193,https://drive.google.com/drive/folders/1sfkisjiUcf9HUehKin7ldqoNIDtpT_k1?usp=drive_link,,"Gram Pulse Face Vegetable C (Cotton Seed Cfl Chana Dal (14%) Masoor Dal (14) Peanuts (11.9%) Flaked Rice, Green Poes (41) Starch Rice Powder ""Spice and Condiments (Dried Mango Pode Black Sat Cumin Powder Cortland Powder Caron Soods Black Pepper Mint Powder Ginger Powder Nuttheg Powder: Red Cu Powder Clove Powder and Asulunda lodised Sat and Acidity Regulator (045-330)",Munchies,,15.5,7,24,180,
258135,Let's Try Pratham Onion Bhujia 180 G,,,,12,5,Yes,85,85,8906161392096,8906161392096,21069099,21069099,180,193,https://drive.google.com/drive/folders/14JCV9nXVrDS98ylPuqg712BwSRDf9XED?usp=drive_link,,"Chickpeas Pulse Flour, Edible Vegetable Oil (Cotton Seed Oin Rice Flour Moth Flour Onion Paste (5.5%), Onion Powder (2%), lodised Salt and Red Chilli Powder",Munchies,,15.5,7,24,180,
349816,Let's Try Pratham Palak Mix 180 Gm,,,,12,5,Yes,85,85,8906161392300,8906161392300,21069099,21069099,180,193,https://drive.google.com/drive/folders/1lDL_4iw7zgjdBBbOYIF8EtYNWxNk-VH-?usp=drive_link,,"Pure Groundnut Of Gem Flour (Mots Bank Motichoor), Tata Sait. Red Chili Powder. Curry Leaves, Werder
Rekod in the fail",Munchies,,15.5,7,24,180,
385971,Let's Try Pratham Panchratan Mixture,,,,12,5,Yes,85,85,8906161392454,8906161392454,21069099,21069099,180,193,https://drive.google.com/drive/folders/1QZL4ft4420cPedn3u_JyVi90HGlUksgy?usp=drive_link,,"Potato Powder, Апоно Powder, Edible Vegetable Oil Chana Dal (5%) Peanuts (53%), Coconut (0% Grean Raisin (7) Black Pasine (3%) Rice Flour, Ch Poeder Sat. Garam Masala Curry Leavies",Munchies,,15.5,7,24,180,
298415,Let's Try Pratham Peanut Party,,,,12,5,Yes,85,85,8906161392027,8906161392027,21069099,21069099,180,193,https://drive.google.com/drive/folders/1DvBEABCk_vCA3r4E8f1A21ss60E6GYyX?usp=drive_link,,"Peanuts (80%), Edicle Vegetatie O (Cotton Seed Of Foostoes Chickpeas Purse Fitu ""Scice and Condiments Red Chill Foedel Cumin Powder White Pepper Powder Black Pepper Powde Dret Mango Pirwder Cantamom Powder Giove Powder Nutineg Powder Mace Powder Star Anise Powder Mirs Powder Asafoetical and lodised Salt and",Munchies,,15.5,7,24,180,
833902,Let's Try Pratham Plain Boondi,,,,12,5,Yes,85,85,8906161391990,8906161391990,21069099,21069099,180,193,https://drive.google.com/drive/folders/1KDVwTj8qwT_PIbzQXMu7EYIhcQXMdpFi?usp=drive_link,,"Gram Flour (55%), Edible Vegetable Oil (Cotton Seed Oil), Sait. Dried Mango Powder.",Munchies,,15.5,7,24,180,
265687,Let's Try Pratham Punjabi Tadka 180 G,,,,12,5,Yes,85,85,8906161392447,8906161392447,21069099,21069099,180,193,https://drive.google.com/drive/folders/1cQNBG_Z6Ca-kg-IZKd5wDYUrRDuA7kW-?usp=drive_link,,"Bengal Gram Flour (46.3%), Edible Vegetable Starch (Arrowroot) (13.9%), Dehydrated Potato Flakes (13.9%), Edible Vegetable Oil (Cottonseed Oil) (18.5%), lodised Salt (2.3%), Black Salt (1.9%). Red Chilli Powder (1.9%), Chaat Masala (0.9%), Dry Ginger Powder (0.2%), Cinnamon Powder (0.1%). Black Cardamom Powder (0.1%).",Munchies,,15.5,7,24,180,
305484,Let's Try Pratham Ratlami Sev 180 Gm,,,,12,5,Yes,85,85,8906161392232,8906161392232,21069099,21069099,180,193,https://drive.google.com/drive/folders/1df3xNcOwiYlPJXZcjN0lc_yTrdMmKb6Z?usp=drive_link,,"Edible Gram Flour,
Vegetable Oil (Cotton-Seed Oil), Black Pepper, Laungi Mirch, Cloves, lodized Salt, Raising Agent (INS500(ii)).",Munchies,,15.5,7,24,180,
998479,Let's Try Pratham Sattu Ribbon Murukku 180 Gm,,,,12,5,Yes,85,85,8906161392362,8906161392362,21069099,21069099,180,193,https://drive.google.com/drive/folders/1vNTc5mauDVEXW0Inffb7RwtUyDaWxhCR?usp=drive_link,,"Rice Flour, Edible Vegetable Oil Groundnut Oil) Roasted Bengal Gram Flour, lodized salt, Chilly Powder, Garlic Powder and Paste Asafoetida Powder",Munchies,,15.5,7,24,180,
182275,Let's Try Pratham Sev Bhujia 180 G,,,,12,5,Yes,85,85,8906161392140,8906161392140,21069099,21069099,180,193,https://drive.google.com/drive/folders/1J5Ra2Nz4oJYE1OH8gTfs2n5E07XLIoRh?usp=drive_link,,"Chickpeas Flour, Edible Vegetable Oil (Cotton Seed Oil), Rice Flour and
lodised Salt",Munchies,,15.5,7,24,180,
335114,Let's Try Pratham Soya Sticks,,,,12,5,Yes,85,85,8906161392072,8906161392072,21069099,21069099,180,193,https://drive.google.com/drive/folders/1n4NrNL1gV0GlvJqwDzbwGOqMsUx4uU05?usp=drive_link,,"Editie Vegetable Oil (Groundnut Oil), Roe Flour Tapioca Stanch, Bengal Gram Flour, Soya Flour (9%), Urad Dal Flour. Hydrogenated Vegetable Oil and locised sat",Munchies,,15.5,7,24,180,
653543,Let's Try Pratham Sweet Murukku,,,,12,5,Yes,85,85,8906161392386,8906161392386,21069099,21069099,180,193,https://drive.google.com/drive/folders/1F0v9CqgZNl2tR6G5qnG8xqBsFBom9pNl?usp=drive_link,,"Rice Flour Edible Vegetable Oil (Groundnut Oil) Roasted Bengal Gram Flour, Butter, White Sesame, Cumin lodized Salt ""Contain Sesame",Munchies,,15.5,7,24,180,
555968,Let's Try Pratham Thianai Murukku,,,,12,5,Yes,85,85,8906161392331,8906161392331,21069099,21069099,180,193,https://drive.google.com/drive/folders/1r7JjHQUBNIHt4sW5pF2ABpmSd-HNgmoP?usp=drive_link,,"Edible Vegetable Oil
(Cotton Seed Oil), Rice Flour, Starch, Black Lentil, Garlic Paste (5%), lodised Salt, Red Chili Powder, White Til.",Munchies,,15.5,7,24,180,
251032,Let's Try Pratham Udupi Mixture,,,,12,5,Yes,85,85,8906161392348,8906161392348,21069099,21069099,180,193,https://drive.google.com/drive/folders/1X5smKWkvtebKyFzsD7PUJGlze5Am5EEM?usp=drive_link,,"Gram Flour, Chikpeas, Rice Flakes, Peanut, Lentil, Refined Groundnut Oil, Garlic paste, lodised Salt ""Spices & Condiments (Black Salt, Dry Mango powder, Cumin Seeds, Carom seeds, Cinna-mon powder, Dry ginger powder, Coriander Seeds powder, Nutmeg Powder, Fennel Seeds, Cardamom, Casia Cloves & Asafoetida), Acidity Regulator (INS-330).",Munchies,,15.5,7,22,180,180
355392,Let's Try Purani Delhi Feeki Mathri 200 Gms,,,,12,5,Yes,150,150,8906161391396,8906161391396,21069099,21069099,200,214,#N/A,,"Hydrogenated Refined Wheat flour, Vegetable Fat & Groundnut Oil.",Munchies,,20,9,20,90,
112503,Let's Try Purani Delhi Kaju Katli,,,,5,5,No,350,350,8906161392775,8906161392775,21069099,21069099,200,200,https://drive.google.com/drive/folders/1B_FXRWRxlQu8XM9smeKcXJunOmojYh2E?usp=drive_link,,"Cashew Nut (47%), Sugar, Clarified Butter (Desi Ghee) (7%), Silver Leaves.",Munchies,,14.1,5.9,10.8,180,
391218,Let's Try Purani Delhi Soan Papdi,,,,5,5,No,125,125,8906161392782,8906161392782,21069099,21069099,200,200,https://drive.google.com/drive/folders/1Ts4ZusRH3PVIe_ah4RZHnPbNvjmkg10Q?usp=drive_link,,"Sugar, Clarified Butter (Desi Ghee) (17%), RO Water, Refined Wheat Flour (Maida) (14%), Chickpea Flour (9%), Liquid Glu-cose, Almond (0.3%), Pistachio (0.2%), Car-damom.",Munchies,,14.1,5.9,10.8,180,
939369,Let's Try Roasted Cashew Hing Jeera,,,,12%,5%,Yes,160,160,8906161392539,8906161392539,20081910,20081910,100,100,#N/A,,"Roasted Cashews (93%), Refined Groundnut Oil, Spices & Condi-ments (Cumin, Red Chilli, Dried Mango, Black Pepper, Cloves, Asa-foetida), Salt, Sugar, Maltodextrin, Acidity Regulator (INS 330) & (INS296).",Munchies,,13,7,20,180,
234370,Let's Try Roasted Cashew Pepper,,,,12%,5%,Yes,160,160,8906161392546,8906161392546,20081910,20081910,100,100,#N/A,,"Roasted Cashews (93%), Refined Groundnut Oil, Black Pepper, Edible common salt (lodised Salt and Rock Salt), Malto Dextrin.",Munchies,,13,7,20,180,
906586,Let's Try Roasted Cashew Salted,,,,12%,5%,Yes,160,160,8906161392607,8906161392607,20081910,20081910,100,100,#N/A,,Let's Try Roasted Cashew Salted,Munchies,,13,7,20,180,
778242,Let's Try Roasted Cashew Tandoori,,,,12%,5%,Yes,160,160,8906161392553,8906161392553,20081910,20081910,100,100,#N/A,,"Roasted Cashews (93%), Groundnut oil, Coriander, Cumin, Red Chilli, Turmeric, Maltodextrin, Black Pepper, Cinnamon, Clove, Green Cardamom, Black Cardamom, Nutmeg, Mace, Bay Leaf, Dry Ginger, Garlic Powder, Onion Powder, Fenugreek Leaves, Salt, Citric Acid (E330), Anticaking Agent (INS 551), Permitted Natural Colour (Paprika Extract /INS 160c).",Munchies,,13,7,20,180,
890263,Let's Try Roasted CashewBBQ,,,,12%,5%,Yes,160,160,8906161392522,8906161392522,20081910,20081910,100,100,#N/A,,"Roasted Cashews (93%), Groundnut oil, Salt, Sugar, Onion Powder, Garlic Powder, Maltodextrin Black Pepper, Red Chilli, Paprika, Cumin, Coriander, Mustard Powder, Dry Mango Powder (Amchur), Cinnamon, Clove, Nutmeg, Mace, Citric Acid (INS 330), Anticaking Agent (INS 551), Permitted Natural Colour (Paprika Extract / INS 160c), Flavour Enhancer (INS 635), Smoke Flavouring.",Munchies,,13,7,20,180,
620566,Let's Try Roasted Peanut Barbeque,Yes,,,12%,5%,Yes,100,100,8906161392621,8906161392621,20081920,20081920,150,150,#N/A,,"Roasted Peanuts (93%), Groundnut Oil, Salt, Sugar Onion Powder, Garlic Powder, Maltodextrin Black Pepper, Red Chilli, Paprika, Cumin, Coriander, Muttard Powder, Dry Mango Powder (Amchuri Cinnamon, Olove, Nutmeg. Mace, Citric Acid (INS 330), Anticaking Agent IINS 551), Permit ted Natural Colour (Paprika Extract/INS 160c1 Flavour Enhancer UNS 635 Smoke Flavouring",Munchies,,13,7,20,180,
579418,Let's Try Roasted Peanut Tandoori,Yes,,,12%,5%,Yes,100,100,8906161392669,8906161392669,20081920,20081920,150,150,#N/A,,"Roasted Peanuts (9) Groundnut Oil, Coriandes Cumin, Red Chill Turmeric, Maltodextrin, Black Pepper, Cinnamon, Clove, Green Cardamom, Black Cardamom, Nutineg. Mace. Bay Leat Dry Ginger. Garlic Powder, Onion Powder, Fenugreek Leaves, Salt, Citric Acid (E330), Anticaking Agent ONS 5511, Permitted Natural Colour (Paprika Extract/INS 160c",Munchies,,13,7,20,180,
871195,Let's Try Teekha Gathiya,Yes,,,12%,5%,Yes,120,120,8906161392713,8906161392713,21069099,21069099,180,180,#N/A,,"Chickpea Flour (43%), Edible Vegetable Oil (Refined Groundnut Oil), Rice Flour, Kashmiri Mirch, lodised Salt, Degi Mirch, Cumin.",Munchies,,15.5,7,24,180,
767318,Let's Try Vanilla Almond Cake 150 Gms,,,,12,5,Yes,188,176,8906161391754,8906161391754,21069099,1905,150,150,https://drive.google.com/drive/folders/1DlhyuqnNkk2Zipn2MOPEYldApE7N5Kav,,"Whole wheat flour (Atta) (28%), Milk, Sugar, Vegetable Oil (Sunflower Oil), Apple Cider Vinegar, Almond Flakes, Baking Powder, lodized Salt, Preservatives (INS 202, INS 282), Raising Agent (INS 500 (ii)), CONTAINS ADDED ARTIFICIAL FLAVORING SUBSTANCES (VANILLA).",Cakes & Muffins,,10.8,5.9,14.1,90,
820094,Let's Try Vanilla Cake 150 Gms,,,,12,5,Yes,188,176,8906161391747,8906161391747,21069099,1905,150,150,https://drive.google.com/drive/folders/1IN-IPgIzyakCQejUw_xKFGspBalRj7KL,,"Whole wheat flour (Atta) (28%), Milk, Sugar, Vegetable Oil (Sunflower Oil), Apple Cider Vinegar, Balung Powder, focized Salt. Preservatives (INS 202, INS 282), Raising Agent (INS 500 (4)), CONTAINS ADDED ARTIFICIAL FLAVORING SUBSTANCES (VANILLA).",Cakes & Muffins,,10.8,5.9,14.1,90,
100377,Lets try Black Salt Makhana,Yes,,,12%,5%,Yes,70,70,8906161392911,8906161392911,21069099,21069099,20,20,#N/A,,"Foxnut (Makhana) (83%), Edible Vegetable Oil (Refined Groundnut Oil), Black salt (8.5%).",Makhana & More,,13,7,20,180,
169742,Lets try Himalayan Salt Makhana,Yes,,,12%,5%,Yes,70,70,8906161392928,8906161392928,21069099,21069099,20,20,#N/A,,"Foxnut (Makhana) (77%), Edible Vegetable Oil (Re-fined Groundnut Oil), Himalayan Pink Slat (8%)].",Makhana & More,,13,7,20,180,
245398,Lets try Lime and Chilli Makhana,,,,12%,5%,Yes,70,70,8906161392935,8906161392935,21069099,21069099,20,20,#N/A,,"Foxnuts (Makhana), Edible Vegetable Oil (Refined Groundnut Oil), lodized Salt, *Spices & Condiments (Chilli, Cumin, Ginger, Black Pepper, Asafoetida), Lime Powder, Acidity Regulator (E330), Flavour En-hancer (E635), Anticaking Agent (E551). *
Used as Natural Flavouring Agent.",Makhana & More,,13,7,20,180,
